cand_id|development|event_type|source_type|title|publisher|published_date|source_url|file_kind|event_date_초안|date_precision|mode|scope|promise_verb_원문표기|page_or_section|exact_excerpt|confidence|notes
F011|남양주 왕숙|basic_service|official_press_release|진접선 개통, 남양주의 새로운 길이 열립니다|국토교통부|2022-03-18|https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95086587&lcmspage=60|html|2022-03-19|day|rail|adjacent_corridor|개통|제목 및 본문|진접선 3월 19일 개통|high|왕숙 인접 기존 철도 기준선이며 왕숙 교통약속 이행 아님
F012|남양주 왕숙|basic_service|official_press_release|별내선 개통, 첫 열차 운행|경기도|2024-08-10|https://gnews.gg.go.kr/briefing/brief_gongbo_view.do?BS_CODE=s017&number=62697&subject_Code=BO01|html|2024-08-10|day|rail|adjacent_corridor|첫 열차|본문|오전 5시 32분 별내선 첫 열차 출발|high|왕숙 광역교통대책의 별내선 연장 약속과 구분되는 기존 본선 기준선
F013|하남 교산|occupancy_start|official_housing_notice|교산 푸르지오 더 퍼스트 입주자모집공고|한국토지주택공사|2025-03-31|https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?aisTpCd=05&ccrCnntSysDsCd=02&mi=1027&panId=0000060838&uppAisTpCd=05|html|2029-06|month|occupancy|block|입주예정일|공급정보 A2|입주예정일 2029년 06월|high|원공고의 미래 예정일
F014|하남 교산|occupancy_start|official_housing_notice|교산 푸르지오 더 퍼스트 정정공고|한국토지주택공사|2025-03-31|https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?aisTpCd=05&ccrCnntSysDsCd=02&mi=1027&panId=0000060855&uppAisTpCd=05|html|2029-06|month|occupancy|block|입주예정일|공급정보 A2|입주예정일 2029년 06월|high|정정공고에서도 예정월이 유지됨을 확인
F015|하남 교산|promise_date|official_press_release|하남교산·과천 광역교통개선대책 확정|국토교통부 대도시권광역교통위원회|2020-05-21|https://www.molit.go.kr/mta/USR/N0201/m_36770/dtl.jsp?id=95083918&lcmspage=88|html|2028|year|rail_bus|district|준공을 목표로 추진|하남교산 대책|도시철도 2028년 준공 목표|high|최초 확정 목표이며 현재 송파하남선 일정과 변경 여부를 추적해야 함
F016|하남 교산|promise_date|official_plan|2024년 교통 분야 민생토론회|국토교통부|2024-01-25|https://www.molit.go.kr/2024plan_traffic/main.jsp|html|미정|unknown|rail_road|district|집중 투자·단축|동부권 광역교통 투자|하남 교산 동남로 연결도로 약 2년 단축|high|사업기간 단축 약속이며 실제 완공일 제시는 아님
F017|하남 교산|basic_service|official_press_release|하남선 1단계 개통|하남시|2020-08-07|https://www.hanam.go.kr/sosik/selectBbsNttView.do?bbsNo=1164&integrDeptCode=&key=10048&nttNo=210883&pageIndex=426&searchCnd=all&searchCtgry=&searchKrwd=&selectPageUnit=|html|2020-08-08|day|rail|adjacent_corridor|운행 시작|본문|미사역~하남풍산역 1단계 운행 시작|high|교산 입주 전 기존 하남선 기준선, 송파하남선 약속 이행 아님
F018|하남 교산|basic_service|official_press_release|지하철 5호선 하남선 전 구간 개통|하남시|2021-03-26|https://www.hanam.go.kr/sosik/selectBbsNttView.do?bbsNo=1164&integrDeptCode=&key=10048&nttNo=321801&pageIndex=258&searchCnd=all&searchCtgry=&searchKrwd=&selectPageUnit=|html|2021-03-27|day|rail|adjacent_corridor|첫 열차 출발|본문|27일 오전 5시 30분 첫 열차 출발|high|하남 기존 철도망 기준선으로만 사용
F019|고양 창릉|occupancy_start|official_housing_notice|고양창릉 A-4블록 신혼희망타운 입주자모집공고|한국토지주택공사|2025-01-31|https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?aisTpCd=39&ccrCnntSysDsCd=02&mi=1027&panId=0000060802&uppAisTpCd=39|html|2028-01|month|occupancy|block|입주예정월|공급정보 A-04|입주예정월 2028년 01월|high|미래 예정월
F020|고양 창릉|occupancy_start|official_housing_notice|고양창릉 S-5블록 공공분양주택 입주자모집공고|한국토지주택공사|2025-01-31|https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?aisTpCd=05&ccrCnntSysDsCd=02&mi=1027&panId=0000060807&uppAisTpCd=05|html|2028-01|month|occupancy|block|입주예정일|공급정보 S-05|입주예정일 2028년 01월|high|독립 블록 공고로 예정월 교차확인
F021|고양 창릉|promise_date|official_press_release|남양주왕숙·고양창릉 신도시 교통대책 확정|국토교통부 대도시권광역교통위원회|2020-12-29|https://www.molit.go.kr/mta/USR/N0201/m_36770/dtl.jsp?id=95084988&lcmspage=1|html|미정|unknown|rail|district|신설을 추진|고양창릉 대책|고양~은평 도시철도와 GTX-A 창릉역 신설 추진|high|확정 원문, 사업별 개통 목표는 후속 계획으로 추적
F022|고양 창릉|promise_date|official_plan_pdf|신도시 광역교통 개선 투자계획|국토교통부|2024-01-25|https://www.molit.go.kr/2024plan_traffic/news/bodo_2.pdf|pdf|미정|unknown|rail_transfer|district|집중 투자|11쪽 북부권|고양은평선·화전역 환승시설|high|2024년 집중투자 대상 재확인
F023|고양 창릉|basic_service|official_press_release|GTX-A 운정중앙~서울역 구간 12월 28일 개통|국토교통부|2024-12-11|https://www.molit.go.kr/USR/NEWS/dtl.jsp?id=95090469&lcmspage=47|html|2024-12-28|day|rail|adjacent_corridor|개통|제목|운정중앙~서울역 12월 28일 개통|high|창릉역은 아직 미정차, GTX-A 기존 구간 기준선일 뿐 약속 이행 아님
F024|고양 창릉|basic_service|official_press_release|대곡~소사 복선전철 7월 1일 개통|국토교통부|2023-06-30|https://www.molit.go.kr/USR/NEWS/m_72/dtl.jsp?id=95088517&lcmspage=5|html|2023-07-01|day|rail|adjacent_corridor|개통|제목|대곡~소사 복선전철 7월 1일 개통|high|고양 서남부 기존 철도 기준선, 고양은평선과 별개
F025|부천 대장|occupancy_start|official_housing_notice|부천대장 A5·A6블록 행복주택 입주자 최초모집|한국토지주택공사|2026-07-23|https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?aisTpCd=42&ccrCnntSysDsCd=03&panId=2015122300020448&uppAisTpCd=39|html|2027-11|month|occupancy|block|입주예정월|공급정보 A5·A6|입주예정월 2027.11|high|현재 확인된 가장 이른 블록 예정월 후보
F026|부천 대장|occupancy_start|official_housing_notice|부천대장 A8블록 공공분양주택 입주자모집공고|한국토지주택공사|2025-04-30|https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?aisTpCd=05&ccrCnntSysDsCd=02&mi=1027&panId=0000060865&uppAisTpCd=05|html|2028-01|month|occupancy|block|입주예정일|공급정보 A8|입주예정일 2028년 01월|high|후속 블록 예정일, F025보다 늦음
F027|부천 대장|promise_date|official_press_release|인천계양·부천대장 광역교통개선대책 확정|국토교통부 대도시권광역교통위원회|2021-01-24|https://www.molit.go.kr/mta/USR/N0201/m_36770/dtl.jsp?id=95085094&lcmspage=2|html|미정|unknown|S-BRT_road|district|설치·구축한다|인천계양·부천대장 대중교통 대책|대장지구~부천종합운동장 S-BRT 설치|high|확정 원문이나 개통일은 명시하지 않음
F028|부천 대장|promise_date|official_service_page|BRT 고급화(S-BRT) 추진|국토교통부 대도시권광역교통위원회|확인불가|https://www.molit.go.kr/mta/USR/WPGE0201/m_36794/DTL.jsp|html|2026|year|S-BRT|district|차질 없이 추진|S-BRT 시범사업 목록|계양-대장 S-BRT 사업기간 ’19~’26|high|갱신형 페이지, 사업기간 종료와 영업개시는 동일하지 않음
F029|부천 대장|basic_service|official_press_release|대곡~소사 복선전철 7월 1일 개통|국토교통부|2023-06-30|https://www.molit.go.kr/USR/NEWS/m_72/dtl.jsp?id=95088517&lcmspage=5|html|2023-07-01|day|rail|adjacent_corridor|개통|제목|대곡~소사 복선전철 7월 1일 개통|high|원종·부천종합운동장 기존 철도 기준선, 대장 S-BRT 이행 아님
F030|부천 대장|basic_service|official_service_page|소사-대곡선 사업현황|부천시|2025-11-03|https://bucheon.go.kr/site/homepage/menu/viewMenu?menuid=148006006003003002|html|2023-07-01|day|rail|adjacent_corridor|전 구간 개통|추진현황|2023. 7. 1. 전 구간 개통|high|지자체 사후 현황이 실제개통일을 재확인, 대장지구 약속과 분리
